Movie Title,movie_id,release_date,genres,casts,directors,writers,producers,plot_summary,votes,rating
action replayy,1396208,05 Nov 2010,Comedy & Romance & Sci-Fi,"['Aditya Roy Kapoor', 'Alok Kumar', 'Aishwarya Rai Bachchan', 'Rajpal Yadav', 'Sudeepa Singh', 'Om Puri', 'Neha Dhupia', 'Akshay Kumar', 'Rannvijay Singh', 'Kirron Kher', 'Randhir Kapoor']",['Vipul Amrutlal Shah'],"['Suresh Nair', 'Aatish Kapadia', 'Ritesh Shah', 'Irshad Kamil']","['Vipul Amrutlal Shah', 'Sanjay Bali', 'Nitin Chandrachud', 'Aashin A. Shah', 'Akshay Kumar']","After witnessing nothing but acrimony between his bickering Mumbai-based parents, Kishen and Mala Chopra, Bunty refuses to marry his girlfriend, Tanya Gonsalves. He is then introduced to her eccentric grandfather, Professor Anthony Gonsalves, and finds that the latter has invented a time-travel machine. Bunty travels back in time - specifically Holi 1975 - when Mumbai was called Bombay and gets to meet his parents when they were younger. He is shocked to find his buck-toothed wimpy father, and his mother - a goon-like tomboy. Amidst the terror of Raman Raghav, the impending Emergency of former Prime Minister Indira Gandhi, banning of multinationals - including Coca Cola - and the Charisma of superstar Rajesh Khanna - he sets about to try and set things right between not only his bickering parents but also his feuding grandparents. He will soon find out that his mother has another admirer - who will not leave any stone unturned to marry her.",5946.0,4.2
7 khoon maaf,1629376,18 Feb 2011,Drama & Mystery & Thriller,"['Vivaan Shah', 'John Abraham', 'Usha Uthup', 'Narendra Kumar', 'Benjamin Gilani', 'Cyndy Khojol', 'Alexander Diachenko', 'Harish Khanna', 'Ruskin Bond', 'Timothy P. Jarvis', 'Irrfan Khan', 'Priyanka Chopra Jonas', 'Neil Nitin Mukesh', 'Naseeruddin Shah', 'Konkona Sen Sharma', 'Shashi Malviya', 'Vidushi Mehra', 'Mohan Kapur', 'Asha Tage', 'Sanjay Verma', 'Bharat Kaul', 'Manuj Bhaskar', 'Annu Kapoor', 'Ayush Tandon', 'Satish Sharma']",['Vishal Bhardwaj'],"['Vishal Bhardwaj', 'Ruskin Bond', 'Matthew Robbins']","['Manish Hariprasad', 'Zarina Mehta', 'Deven Khote', 'Ajay Rai', 'Vishal Bhardwaj', 'Vikas Bahl', 'Satish Sharma', 'Sanjeevkumar Nair', 'Siddharth Roy Kapur', 'Vikas Mehta', 'Ronnie Screwvala', 'Rekha Bhardwaj', 'Punam Sawhney']","After the passing of his Pondicherry-born mentor, Susanna, Mumbai-based Dr. Arun Kumar Singh narrates his story to his wife, Nalini. With photographs from an old album that he has never shared with anyone, he informs her as to how Susanna caught him stealing; got him to quit his job & enrolled in a Panchgani school, as well as arranged for further education in St. Petersburg. While Susanna herself searched for true love and her marriages with six deceased men - including the abusive Major Edwin Rodrigies; drug-addicted and womanizer guitarist-singer Jamshed Singh Rathore; impotent and abusive Mohammad Wasiullah Khan; bigamist/spy Nicolai Vronski; Inspector Keemat Lal; and Dr. Modhusodon Tarafdar - men who influenced her life, broke her heart - and met with sudden and mysterious deaths.",5759.0,6.2
mausam (2011 film),,,,,,,,,,
salaam-e-ishq: a tribute to love,0485272,25 Jan 2007,Comedy & Drama & Musical & Romance,"['Renuka Bondre', 'Arun Bakshi', 'Prem Chopra', 'John Abraham', 'Beena Kak', 'Ashwani Chopra', 'Celina Nessa', 'Sujata Kumar', 'Iona Thonger', 'Andrew Winmill', 'Vidya Balan', 'Shannon Esra', 'Priyanka Chopra Jonas', 'Mangala Kenkre', 'Saurabh Shukla', 'Steven Baker', 'Kenny Solomons', 'Steve Motion', 'Deepak Qazir', 'Nihal Kodhaty', 'Salman Khan', 'Ayesha Takia', 'Tinnu Anand', 'Anjana Sukhani', 'Manoj Pahwa', 'Kamini Khanna', 'Anang Desai', 'Vishal Malhotra', 'Kushal Punjabi', 'Manoj Bakshi', 'Anil Kapoor', 'Rebecca James', 'Daniel Jefferson', 'Govinda', 'Neele Bjerre', 'Heather Pearse', 'Atul Parchure', 'Isha Koppikar', 'Viju Khote', 'Akshaye Khanna', 'Vrajesh Hirjee', 'K.K. Raina', 'Sohail Khan', 'Smita Hai', 'Lee Alliston', 'Arjun Kapoor', 'Juhi Chawla']",['Nikkhil Advani'],"['Rahul Awate', 'Saurabh Shukla', 'Suresh Nair', 'Nikkhil Advani']","['Chettan Motiwalla', 'Jitender K. Bagga', 'Sunil Manchanda', 'Ashwani Chopra', 'Mukesh Talreja']","Born in Dehra Dun, temperamental and ambitious Kamna changes her name to Kamini, hires Babu as her Manager and becomes one of the most sought-after heroines in Bollywood. As a publicity stunt and to get the attention of film-maker Karan Johar, she recruits Rahul to pose as her childhood sweetheart and future husband - which result in nothing but insecurities for both - as Rahul reveals his true character and starts to blackmail her; Gia Bakshi lives with her dad, Col. Bakshi and is in love with Shiven Dungarpur, both are to get married shortly, but Shiven starts to get cold feet and decides to disappear from her life, leaving Col. Bakshi no alternative but to arrange Gia's marriage with Rohit Chhada; Gia's sister, Seema, lives in Britain, has been married to Vinay Malhotra for 15 years, & they have two children. While preparing to travel to India for Gia's marriage, Seema finds out that Vinay is having an affair with a gorgeous woman named Anjali - leaving her with nothing but heartbreak; Ashutosh Raina is a Hindu, but falls in love and gets married to Tehzeeb Hussain, who is Muslim, much to the chagrin of his dad who will not have anything to do with him. Tehzeeb is a TV news-reporter, and while traveling on an inaugural train route, the train derails, Tehzeeb survives but loses her memory, and is unable to recall who Ashutosh is - and may end up leaving him and returning to her parents' home; Raju is a taxi-driver, who comes to the assistance of a Caucasian female, Stefanie, who is frantically trying to hunt down her lover, Rohit Chhada. Raju drives her around Northern India and finally to the venue where Rohit is getting ready to get married to Gia - Stefanie will get her true love back?; Ramdayal weds attractive Phoolwati and would like to spend some intimate moments with her but comical circumstances prevent him from doing so. Watch what happens as fate takes these couples to their varying destinations.",5352.0,5.1
hum hain rahi pyar ke,0107166,05 Jul 1993,Comedy & Drama & Romance,"['Dalip Tahil', 'Tiku Talsania', 'Navin Kumar', 'Aamir Khan', 'Veeru Krishnan', 'Mahesh Raaj', 'Birbal', 'Mushtaq Khan', 'Robin Bhatt', 'Ramakant Burman', 'Zubaida', 'Navneet Nishan', 'Sharokh Bharucha', 'Juhi Chawla', 'Aslam', 'Ramesh Goyal', 'Javed Khan', 'Merlin Lucian', 'Anjana Mumtaz', 'G.P. Singh', 'K.D. Chandran', 'Kunal Khemu', 'Baby Ashrafa', 'Amrit Patel']",['Mahesh Bhatt'],"['Aamir Khan', 'Sujit Sen', 'Robin Bhatt']","['Raj Khandelwal', 'Zeenat Tahir Husain', 'Tahir Hussain']","Rahul Malhotra (Aamir Khan) is the manager of the heavily in debt family business. He is also the guardian of his dead sister's mischievous kids. Rahul hires Vaijayanti (Juhi Chawla) as governess. Vaijayanti is a runaway from home as she does not want to marry the man her orthodox family has chosen for her. Predictably, Rahul and Vaijayanti fall in love. Maya (Navneet Nishan), a rich girl in love with Rahul tries to ruin his family and his business.",5578.0,7.4
bhavesh joshi superhero,6129302,01 Jun 2018,Action & Crime & Drama,"['Rajiv Kachroo', 'Pawan Jam', 'Shibani Dandekar', 'Pratap Phad', 'Pabitra Rabha', 'Nishikant Kamat', 'Ramesh Bhatkar', 'Vijay Gokhale', 'Rakesh Sharma', 'Shreiyah Sabharwal', 'Harshvardhan Kapoor', 'Suhas Palshikar', 'Vijay Singh Parmar', 'Harsh Hansraj', 'Scott Milburn', 'Ashish Verma', 'Rejeesh Narayanan', 'Hrishikesh Joshi', 'Chinmay Mandlekar', 'Ram Kishan Dhakad', 'Priyanshu Painyuli']",['Vikramaditya Motwane'],"['Anurag Kashyap', 'Abhay Koranne', 'Vikramaditya Motwane']","['Mrunalini Havaldar', 'Madhu Mantena Varma', 'Vikas Bahl', 'Dipa De Motwane', 'Shibasish Sarkar', 'Sumit Gyanchandaney', 'Anurag Kashyap', 'Ranjan Singh']","Bhavesh Joshi Superhero is an action film about a young man who wants to continue doing the right and challenge the wrong. And on this journey, he discovers that he's destined to do bigger things, which will transform him from a common man into a superhero.",7880.0,7.6
gangster (2006 film),0843863,,Documentary & Short,"['Patricia King Hanson', 'Rick Jewell', 'Talia Shire', 'Lili Fini Zanuck', 'Michael Madsen', 'Eric Lax', 'Irwin Winkler', 'Vivian Sobchack', 'Lincoln Hurst', 'Martin Scorsese', 'Frank Miller', 'Haden Guest', 'Theresa Russell', 'Michael B. Druxman', 'Anthony Slide', 'Robert Evans', 'Larry Cohen', 'Nicholas Pileggi', 'Drew Casper']",['Gary Leva'],,"['Erika Bolin', 'Michael Crawford']","['Tough, resourceful women broke the mold in gangster films. This film pays tribute to their influence on the cinema of their day - and their legacy.::Anonymous']",31.0,7.0
love sex aur dhokha,1608777,19 Mar 2010,Comedy & Crime & Drama & Romance,"['Vinod Rawat', 'Arvind Kumar', 'Shikha Arora', 'Deepak Arora', 'Priyanka Bose', 'Ashish Sharma', 'Anuj Sharma', 'Mallaika Shah', 'Parimal Aloke', 'Devendra', 'Deepak Arora', 'Imran Khan', 'Anna', 'Anshuman Jha', 'Amarjeet Shah', 'Munish Sharma', 'Arya Banerjee', 'Om Prakash', 'Neha Chauhan', 'Sunny Baweja', 'Taran Bajaj', 'Ansh', 'Jeet Kaur', 'Jaldeep', 'Amit Sial', 'Sandeep Bose', 'Ramesh Chandane', 'Nushrat Bharucha', 'Shehnaz Romani', 'Vishal C. Bhardwaj', 'Atul Mongia', 'Aditi Sudhir Pohankar', 'Rajkummar Rao', 'Rajiv Mishra', 'Daisy Khatri', 'Tarandeep Singh', 'Namrata Rao', 'Herry Tangiri']",['Dibakar Banerjee'],"['Kanu Behl', 'Dibakar Banerjee']","['Pooja Gupta', 'Cauvery Rajagopal', 'Ekta Kapoor', 'Puneet Kinra', 'Vikram Malhotra', 'Priya Aven', 'Priya Sreedharan', 'Urmi Juvekar']","LSD explores the human emotions of love, sex & betrayal through very candid points of view. Told through the chaos of the camera that has invaded all our lives - through handy cams filming home movies, security cameras shooting every inch of existence, mobile phones transmitting love messages, sting cameras uncovering uncomfortable truths.",5469.0,7.1
kismat konnection,1105733,18 Jul 2008,Comedy & Drama & Romance,"['Amit Varma', 'Liliia Sverginsky', 'Haidar Ali', 'Boman Irani', 'Vishal Malhotra', 'Shah Rukh Khan', 'Shahnaz Vahanvaty', 'Om Puri', 'Hyder Ali', 'Himani Shivpuri', 'Shahid Kapoor', 'Dimple Sharma', 'Shehnaz Anand', 'Karanvir Bohra', 'Vidya Balan', 'Juhi Chawla']",['Aziz Mirza'],"['Rahila Mirza', 'Sanjay Chhel', 'Sai Kabir', 'Ashish Kariya', 'Vibha Singh']","['Ganesh Nankoosingh', 'Ramesh Sadhuram Taurani', 'Prakash Talreja', 'Dilip Advani']","Toronto-based social activist Priya meets out-of-work architect Raj Malhotra, and both end up in a series of hilarious misunderstandings. Priya finds out that Raj is attracted to her. She shows interest in him as well, though she is seeing Karan Bahl, to whom all of their friends expect she'll soon be married. What Priya does not know is Raj believes she is lucky for him and may be using her to obtain a contract that would involve tearing down her beloved community center to build a shopping mall in it's place.",5424.0,5.2
malamaal weekly,0476805,10 Mar 2006,Comedy & Drama,"['Paresh Rawal', 'Reema Sen', 'Sudha Chandran', 'Innocent', 'Rajpal Yadav', 'Bineesh Kodiyeri', 'Ravindranath', 'Rakhi Sawant', 'Shakti Kapoor', 'Om Puri', 'Asrani', 'Priyanshi', 'Rasika Joshi', 'Sona Nair', 'Riteish Deshmukh', 'Paresh Bramhbhatt', 'Arbaaz Khan']",['Priyadarshan'],"['Chandu Shah', 'Priyadarshan', 'Manisha Korde']","['Shailendra Singh', 'Mahesh Ramanathan', 'Suresh Balaje', 'Chhitra Subramaniam', 'Darshan Rohira', 'George Pius']","Laholi is a small village in India whose inhabitants are poor, simple-minded, and are used to their lives being controlled by the dictatorial Landlord, Thakurain, and her brother, Baj Bahadur. Although Lilaram is the one with the highest educational qualifications, he is unable to secure any job. He decides to make a living selling lottery tickets, especially the Delhi-based Malamaal Weekly, but is barely able to make ends meet. Then one day he finds out that one of his lottery tickets is a winner. He concocts a scheme with his wife, which involves pawning her pet goat with the Thakurain, getting people together for a feast, so that he can get their tickets back - all in vain. Then he finds out that the only one who was absent was the town drunk, Anthony Fernandes. When he goes to Anthony's house he finds him dead, happily clutching his winning lottery ticket. When Lilaram tries to take the ticket from Anthony's hand, another villager, Balwant, happens to come by, both of them compromise and decide to share the one crore prize. They decide to toss the body in the river. Then Kanhaiya, who wants to marry Lilaram's daughter, Sukhmani, comes by, he overhears, and is also made a partner. Kanhaiya is asked to dispose off the body, which he does. The next day when Lilaram telephones the lottery office, he is told that Anthony had already phoned in his winning number. Lilaram, Kanhaiya, and Balwant rush to get Anthony's body back, which they find perched on a tree, as Kanhaiya had not done a good job. They take the body back and it is there that they are met by Anthony's estranged sister, Mary, who also knew about the winning ticket. After a few clarifications, Mary, her husband, and her child are also made partners. Then the sky literally falls on them when they find several village businessmen, to whom Anthony owed money, assembled in front of the house to collect their dues. They too are inducted as partners and then begins the trial of convincing the Lottery Inspector, Jayesh Agarwal, that Anthony is alive. Watch hilarious chaos unfold when Baj Bahadur, who also wants to marry Sukhmani, finds out about the winning lottery ticket.",6398.0,7.0
azhar (film),10255888,20 Apr 2000,Talk-Show,"['Angelika Gebhard', 'Werner Reuß', 'Rollo Gebhard']",,,,,,
aligarh (film),13944492,2008,Documentary & Short & Biography,,['Amit Dutta'],,,,6.0,5.5
ki & ka,4744086,01 Apr 2016,Comedy & Romance,"['Abhiroy Singh', 'Sanjeev Wadhwani', 'Nikhil Dave', 'Teena Paradkar', 'Purshottam Mulani', 'Swaroop Sampat', 'Richard John Lovatt', 'Priyanka Moodley', 'Kareena Kapoor', 'Navin Bajaj', 'Govind Chaudhary', 'Ratnesh Mani', 'Manju Sharma', 'Tanvir Singh', 'N. Madhusudan', 'Jayant Rawal', 'Tripti Agarwal', 'Jaya Bachchan', 'Amitabh Bachchan', 'Neeta Mohindra', 'Priyanka Bedi', 'Geeta Udeshi', 'Aarti Aggarwal', 'Gulnaaz Khan', 'Arjun Kapoor', 'Rajit Kapoor']",['R. Balki'],"['Rishi Virmani', 'R. Balki']","['Ravi Sarin', 'Anil Naidu', 'R. Damani', 'Rakesh Jhunjhunwala', 'Sunil Lulla', 'Dharam Soni', 'R. Balki']","The movie follows the trails of young married ""rich"" couple, their struggles to manage work-life balance, ego battles and then the happy ending. Arjun Kapoor is a rich son and so is Kareena Kapoor who is a very successful marketing executive well supported her boss- as shown in the movie. The two meet in a typical Bollywood style and after several outings in Rail museum and restaurants, decide to get married albeit without much fanfare through a registered marriage. The story then follows the swap of roles of husband managing the household while supporting a spouse's career. While Kareena succeeds in her career and is overshadowed by Arjun's out of turn popularity whilst endorsing several brands, giving talk shows etc leading to differences between the two and thus an ego tussle. The tussle is resolved with the matter convinced by two super ladies- Swaroop Sampath and Jaya Bachan and the movie ends on a happy note. Star guest Amitabh Bachan adds glitter to the script too. Arjun is passionate about trains and is off to National Rail Museum with Kareena for datings. He also has an exclusive toy rail set-up in his room and kitchen. His passion for trains is even picturised even in one of the songs. The other passion for him is cooking-both for his family and later develops that as a profession. Cooking is shown extensively whilst endorsing several cooking based brands aligned to Kareena's marketing ventures.",5527.0,5.8
sangharsh (1999 film),,,,,,,,,,
total dhamaal,7639372,22 Feb 2019,Action & Adventure & Comedy,"['Niharica Raizada', 'Ali', 'Sanjay Mishra', 'Martha Taylor', 'Arshad Warsi', 'Vijay Patkar', 'Mohammad Nayem', 'Esha Gupta', 'Ajay Devgn', 'Sudesh Lehri', 'Pitobash', 'Johnny Lever', 'Crystal', 'Manoj Pahwa', 'Rajpal Yadav', 'Mahesh Manjrekar', 'Anil Kapoor', 'Javed Jaffrey', 'Ashwin Mushran', 'Teetu Verma', 'Pradeep Kabra', 'Boman Irani', 'Jackie Shroff', 'Besant Ravi', 'Madhuri Dixit', 'Sonakshi Sinha', 'Riteish Deshmukh']",['Indra Kumar'],"['Paritosh Painter', 'Ved Prakash', 'Bunty Rathore']","['Dilip Mistry', 'Anand Pandit', 'Ajay Devgn', 'Kumar Mangat Pathak', 'Ashok Thakeria', 'Rajesh Shah', 'Sangeeta Ahir', 'Indra Kumar', 'Ravinder Choudhary', 'Amar Butala', 'Ajay Sharma']","Total Dhamaal is the third instalment in the Dhamaal franchise. A hidden booty of 50 crore leads to a mad chase amongst a bunch of greedy and eccentric characters. In them, are a bickering couple on the verge of a divorce, greedy siblings, local goons, a police commissioner and the mastermind of the loot. Will they finally discover the hidden treasure?",6483.0,4.2
naam shabana,6170954,31 Mar 2017,Action & Thriller,"['Jagannath Nivangune', 'Shibani Dandekar', 'Arjun Singh Shekhawat', 'Zakir Hussain', 'Aman Uppal', 'Danny Denzongpa', 'Prithviraj Sukumaran', 'Bhuvan Arora', 'Madhurima Tuli', 'Natasha Rastogi', 'Akshay Kumar', 'Mohan Kapur', 'Taapsee Pannu', 'Anupam Kher', 'Elli Avrram', 'Murli Sharma', 'Vikram Mehra', 'Rajesh Bhati', 'Amarjeet Singh', 'Manav Vij', 'Taher Shabbir', 'Denzil Smith', 'Manoj Bajpayee', 'Shiva Dagar', 'Aparna Upadhyay', 'Virendra Saxena']",['Shivam Nair'],"['Neeraj Pandey', 'Rajshri Sudhakar']","['Ravi Sarin', 'Sandeep Shandilya', 'Rajesh Shah', 'Sameer Siddiqui', 'Karan Shah', 'Shital Bhatia', 'Aruna Bhatia']",Shabana a college student who is also Kudo fighter lives with her mother in Mumbai at a young age she had killed her father trying to save her mother from his daily abuse and was sent to children remand home. Shabana is in love with Jai who gets killed by some spoiled brats when he tries to save Shabana from their abuse. Three months after the death of Jai the police haven't made any arrest as they were trying to save the culprits. Shabana then gets a anonymous call from Ranvir Singh telling that he will provide her details of Jai's killers in return she has to work for their secret National Defense Force.,6239.0,6.3
hamari adhuri kahani,3483612,12 Jun 2015,Drama & Romance,"['Suhasini Mulay', 'Mukesh Paul', 'Prabal Panjabi', 'Amit Sharma', 'Sara Khan', 'Amala Akkineni', 'Vidya Balan', 'Zachary Coffin', 'Manish Raj Gupta', 'Saurabh Tiwari', 'Madhurima Tuli', 'Yatin Karyekar', 'Mukesh Agrohari', 'Namit Das', 'Narendra Jha', 'Paras Chhabra', 'Atul Kumar Shukla', 'Anil George', 'Uday Chandra', 'Krishna Srivastava', 'Gary Tantony', 'Khuahhish', 'Bhavesh Balchandani', 'Bhuperdra Singh Negi', 'Jagmohan', 'Yogesh Shirke', 'Armen Grayg', 'Emraan Hashmi', 'Rajkummar Rao', 'Vivek Ghamande', 'Gaurav Kumar']",['Mohit Suri'],"['Shagufta Rafique', 'Mahesh Bhatt']","['Noorie Hassan', 'Vikram Bhatt', 'Aleem Allie', 'Mehboob Bawa', 'Nizam Allie']","Hamari Adhuri Kahani (English: Our Incomplete Story) is a 2015 Indian romantic drama directed by Mohit Suri and produced by Mahesh Bhatt under the banner Vishesh Films and Fox Star Studios. The film stars Emraan Hashmi, Vidya Balan, and Rajkummar Rao. It is based on the love story of Bhatt's parents, Nanabhai Bhatt, Shirin Mohammad Ali and his stepmother.",5704.0,6.7
pyaasa,0050870,19 Feb 1957,Drama & Musical & Romance,"['Tina Misquitta', 'Tun Tun', 'Mehmood', 'Mala Sinha', 'Kumkum', 'Rehman', 'Neel Kamal', 'Maya Dass', 'Mohan Sandow', 'Moni Chatterjee', 'Johnny Walker', 'Shyam', 'Tulsi Chakraborty', 'Ashita', 'Radheshyam', 'Waheeda Rehman', 'Guru Dutt', 'Leela Mishra', 'Rajendra']",['Guru Dutt'],"['François-Xavier Durandy', 'Abrar Alvi']",['Guru Dutt'],"Unemployed Vijay is the youngest in his family consisting of his widowed mom, and two brothers. His passion is poetry - frowned upon by his brothers - who want him to find gainful employment instead. Vijay's poems are quite radical in which he laments about the poor, the destitute, and the arrogance of the rich after the departure of the British from India. His efforts to get them published are in vain. He takes to drinking, gets in trouble with the law, is disowned by his brothers, ends up at a brothel and befriends a prostitute named Gulabo. Gulabo is sympathetic, listens to him as he pours his heart out, and decides to assist Vijay. Watch what happens when Gulabo approaches some of her affluent clientèle to assist Vijay and try and get his work published, without revealing that they are written by an alcoholic, disheveled, homeless man.",5991.0,8.5
abcd 2,3679000,19 Jun 2015,Biography & Drama & Music,"['Akanksha Nehra', 'Carl Windom Carlito', 'Samantha Kelly', 'Glenn Heath', 'Sandra Daly', 'Efren John Rowan', 'Pravin Bhosale', 'Shraddha Kapoor', 'Md Asraful Hoque', 'Leland Smith', 'Tyler Mizak', 'Sushant Pujari', 'Parthaa Akerkar', 'Jineet Rath', 'Alfonzo McCarther', 'Frances Rose Padunan', 'Ken Rowland', 'David Hershwitzky', 'Jeanie Espinoza', 'Cesar Lazcano', 'Pavan Rao', 'Varun Dhawan', 'Dharmesh Yelande', 'Joe Greer', 'Nicole Chauvet', 'Saajan Singh', 'Shawn Wilson', 'Deepak Dwivedi', 'Tom Bonello', 'Michelle Perks', 'Trina Colon', 'Manmeet Singh', 'Christine Vienna', 'Punit Pathak', 'Ragini Dev', 'Naresh MirZa Malik', 'Tala Marie', 'Illuminati Dance Crew', 'Lauren Gottlieb', 'Prachi Shah', 'Will Roberts', 'Brian Blu', 'Leah Bayne', 'Pooja Batra', 'Alexandria Lee', 'Ashley Campbell', 'Prabhu Deva', 'Tisca Chopra', 'Mohit Abrol', 'Raghav Juyal', 'Onnoleigh Sweetman', 'Eric Velarde', 'Ana Antimo', 'Allyson Newell', 'Jonathan Ruggiero']","[""Remo D'Souza""]","[""Remo D'Souza"", 'Mayur Puri', 'Tushar Hiranandani']","['Salona Bains Joshi', 'Bala Rajasekharuni', 'Abhinav Mehrotra', 'Rushda Majeed', 'Chettan Motiwalla', 'Rukhshida David', 'Siddharth Roy Kapur', 'Alan Noel Vega', 'Kanishka Mehta', 'Amrita Pandey']","The story traces the journey of an Indian dance troupe, a motley assortment of boys and girls who come from the backstreet's of a Mumbai suburb; their rise to fame, sudden downfall and then their heroic attempt to seek vindication by regaining their lost glory and pride. Will they be able to achieve success at the biggest International platform? Will they make their beloved Vishnu Sir proud, who is himself struggling with his not so perfect past? ABCD 2 is a grand 3D Dance Film which travels to the vibrant city of Las Vegas and is a bittersweet journey of love, friendship, betrayal, honor and redemption.",5909.0,5.4
thank you (2011 film),,,,,,,,,,
joker (2012 film),,,,,,,,,,
qarib qarib singlle,7399470,09 Nov 2017,Comedy & Romance,"['Isha Sharvani', 'Nidhi Joshi', 'Bajrangbali Singh', 'Aman Sharma', 'Parvathy Thiruvothu', 'Irrfan Khan', 'Pushtii Shakti', 'Ramashrit Joshi', 'Bobby Arora', 'Siddharth Menon', 'Salim M. Shaikh', 'Navneet Nishan', 'Anud Singh Dhaka', 'Adil Lokhandwala', 'Brijendra Kala', 'Rishabh Kumar', 'Luke Kenny', 'Scott Milburn', 'Shreyas Sanghavi', 'Neha Dhupia']",['Tanuja Chandra'],"['Ramashrit Joshi', 'Kamna Chandra', 'Gazal Dhaliwal', 'Tanuja Chandra']","['Ajay Rai', 'Yogiraj Shetty', 'Sutapa Sikdar', 'Rahul Rawat', 'Vikas Sharma', 'Vinay G. Rai', 'Rakesh Bhagwani', 'Shailja Kejriwal', 'Muhitt Agarwaal', 'Ajay R. Yadav', 'Kapil Madnani']","['Yogi and Jaya, who have polar opposite personalities and sensibilities, meet via a online dating app. This encounter turns into so much more when the two travel to Rishikesh.']",7654.0,7.1
ghayal: once again,4683366,05 Feb 2016,Action & Crime & Drama & Thriller,"['Lokesh Tilakdhari', 'Zakir Hussain', 'Ajay Upadhyay', 'Roselin Sonia Gomes', 'Harsh Chhaya', 'Mamta Kapoor', 'Aanchal Munjal', 'Sebastien Vandenberghe', 'Neena Kulkarni', 'Raymon Singh', 'Satyajeet', 'Om Puri', 'Narendra Jha', 'Nina Kulkarni', 'Sunny Deol', 'Neha Khan', 'Shivam Patil', 'Manoj Joshi', 'Ajay Upadhyay', 'Ramesh Deo', 'Rajeev Vashishth', 'Nadira Babbar', 'Rishabh Arora', 'Sachin Khedekar', 'Lily Patel', 'Prashannt Jha', 'Suchint Singh', 'Soha Ali Khan', 'Reyna Vashishtha', 'Tisca Chopra', 'Abhilash Kumar', 'Diana Khan', 'Akshay Singh', 'Anisha Hinduja', 'Ruhanika Dhawan']",['Sunny Deol'],"['Sagar Pandya', 'Nitesh V. Ranglani', 'Vishal Vijay Kumar', 'Sanjay Masoomm', 'Shaktimaan Talwar']","['Jay Dev Banerjee', 'Suniel S. Saini', 'Dharmendra', 'Ronak Motla', 'Sunil Sharma', 'Ravinder Thakur']","Ajay Mehra (from previous Ghayal-1990), after finishing off his life sentence, starts a newspaper called Satyakam. Still dealing with the haunting trauma of losing his loved ones, Ajay manages to make a credible name for himself in investigative journalism. Working with a strange team of RTI activists, ex-criminals and ilk; and even stranger ways of unearthing and presenting truth, Ajay Mehra has earned quite a fan following among the youths, who finds his fearless and unforgiving approach in dealing with all kinds of sociopaths very inspiring. Among his die hard fans are these four teenagers who happened to have received bravery medals from him once. These four friends once out on photography expedition, accidentally record a murder on a camera. The footage turns out to be explosive as it clearly shows two of the city's most powerful people involved in the murder. Well what happens after this is a series of twists and turns where the four kids get entangled and have to fight it out with the most powerful men of the city, will Ajay be able to save them? Will the kids be successful in their mission to stand by the truth only time will tell.",5043.0,6.3
chashme baddoor (2013 film),,,,,,,,,,
ferrari ki sawaari,2122340,15 Jun 2012,Comedy & Drama & Family & Sport,"['Nilesh Divekar', 'Aakash Dabhade', 'Freny Bhagat', 'Ritvik Sahore', 'Uday Sabnis', 'Vidya Balan', 'Atul Sharma', 'Vijay Nikam', 'Seema Bhargava', 'Satyadeep Misra', 'Sharman Joshi', 'Aditya Rawal', 'Achyut Potdar', 'Ray Burnet', 'Bhalchandra Kadam', 'Mick Slaney', 'Paresh Rawal', 'Boman Irani', 'Mona Liisa', 'Deepak Shirke']",['Rajesh Mapuskar'],"['Vidhu Vinod Chopra', 'Ranjeet Bahadur', 'Rajkumar Hirani', 'Rajesh Mapuskar']","['Bimal Oberoi', 'Anil Davda', 'Vidhu Vinod Chopra', 'Vir Chopra', 'Rajkumar Hirani']","A little boy thinks of nothing but cricket. His father, Rusy, thinks of nothing but his little boy. To fulfill his sons dream of playing at Lords cricket ground, the honest and upright Rusy takes a reckless step. He borrows a gleaming red Ferrari. Just for one hour. The only trouble -- he doesn't inform the cars legendary owner. A wild, breathless, bumpy ride begins. A naive Rusy must dodge bullets and bouncers for one unforgettable night, and play the role of a perfect father. Can he do it? Ferrari Ki Sawaari is a fun-filled story of small guys and their big dreams and how these dreams turn into a mad comedy of errors. Fasten your seatbelts. The joyride awaits.",5255.0,6.4
